Topics,congress,date,track,sponsor,party,state,topic
1,115th,2017-11-02,Became Law,"Brady, Kevin ",R,TX,Tax Code
2,115th,2018-04-12,Became Law,"Conaway, K. Michael ",R,TX,Elections
3,115th,2018-05-09,Passed House,"Carthy, Kevin ",R,CA,Budget
4,115th,2018-04-13,Passed House,"Shuster, Bill ",R,PA,Infrastructure
5,115th,2017-01-03,Passed House,"Goodlatte, Bob ",R,VA,Regulations
6,115th,2018-06-13,Became Law,"Walden, Greg ",R,OR,Health Care
7,115th,2017-01-13,Passed House,"Smith, Christopher H. ",R,NJ,Labor / Immigration
8,115th,2018-05-18,Passed House,"Shuster, Bill ",R,PA,Natural Resources
10,115th,2017-04-26,Passed House,"Hensarling, Jeb ",R,TX,Small Business
12,115th,2017-06-23,Introduced,"Lewis, John ",D,GA,Elections
15,115th,2017-05-25,Introduced,"Scott, Robert C. ",D,VA,Labor / Immigration
19,115th,2017-03-30,Introduced,"Maloney, Carolyn B. ",D,NY,Diplomacy
20,115th,2017-01-24,Introduced,"Sarbanes, John P. ",D,MD,Elections
21,115th,2017-01-03,Passed House,"Issa, Darrell E. ",R,CA,Regulations
22,115th,2017-01-03,Introduced,"Poe, Ted ",R,TX,Border
23,115th,2017-01-03,Passed House,"Valadao, David G. ",R,CA,Natural Resources
24,115th,2017-01-03,Introduced,"Massie, Thomas ",R,KY,Regulations
25,115th,2017-01-03,Introduced,"Woodall, Rob ",R,GA,Tax Code
26,115th,2017-01-03,Passed House,"Collins, Doug ",R,GA,Regulations
27,115th,2017-01-03,Passed House,"Costello, Ryan A. ",R,PA,Regulations
28,115th,2017-01-03,Passed House,"Roe, David P. ",R,TN,Chemical Substances
29,115th,2017-01-03,Introduced,"Goodlatte, Bob ",R,VA,Tax Code
30,115th,2017-01-03,Introduced,"Hudson, Richard ",R,NC,Tax Code
31,115th,2017-01-03,Introduced,"Hudson, Richard ",R,NC,Regulations
32,115th,2017-01-03,Introduced,"Hudson, Richard ",R,NC,Tax Code
33,115th,2017-01-03,Introduced,"Chabot, Steve ",R,OH,Regulations
34,115th,2017-01-03,Introduced,"Massie, Thomas ",R,KY,Tax Code
35,115th,2017-01-03,Introduced,"Burgess, Michael C. ",R,TX,Tax Code
36,115th,2017-01-03,Passed House,"Franks, Trent ",R,AZ,Civil Law
37,115th,2017-01-03,Introduced,"Franks, Trent ",R,AZ,Civil Law
38,115th,2017-01-03,Passed House,"Hudson, Richard ",R,NC,Civil Law
39,115th,2017-01-03,Became Law,"Carthy, Kevin ",R,CA,Regulations
40,115th,2017-01-03,Introduced,"Conyers, John",D,MI,Regulations
